Marker_name,Category,Function,Specific_function,Regulation
sigB,stress / oxidative stress,,,
spxA,stress / oxidative stress,,redox/thiol-stress regulator,
spxH,stress / oxidative stress,,,
perR,stress / oxidative stress,,,
fur,stress / oxidative stress,,,
mntR,stress / oxidative stress,,,
katA,stress / oxidative stress,,peroxide redox,
ahpC,stress / oxidative stress,,peroxide reduction,
mrgA,stress / oxidative stress,,,
sodA,stress / oxidative stress,superoxide stress,manganese dependent,
sodF,stress / oxidative stress,superoxide stress,iron dependent ,
spo0A,biofilm / multicellularity,,,
sinR,biofilm / multicellularity,,,
sinI,biofilm / multicellularity,,,
degU,biofilm / multicellularity,,,
abrB,biofilm / multicellularity,,,
slrR,biofilm / multicellularity,,,
remA,biofilm / multicellularity,,biofilm activator,
remB,biofilm / multicellularity,,biofilm activator,
comK,competence / HGT,,,
comA,competence / HGT,,,
comP,competence / HGT,,,
rok,competence / HGT,,,
dprA,competence / HGT,,,
phrC,competence / HGT,,"peptide, quorum sensing",
sigF,sporulation,,,
sigE,sporulation,,,
sigG,sporulation,,,
sigK,sporulation,,,
spo0A,sporulation,,,
spoVT,sporulation,,,
spoIIAA,sporulation,,marker of early sporulation,
mntR,metal homeostasis / ion transport,,,
fur,metal homeostasis / ion transport,,,
zur,metal homeostasis / ion transport,,,
copA,metal homeostasis / ion transport,,"copper efflux, toxicity marker",
ycnJ,metal homeostasis / ion transport,,copper uptake,
dhbA,metal homeostasis / ion transport,,siderophore synthesis,
dhbC,metal homeostasis / ion transport,,siderophore synthesis,
feuA,metal homeostasis / ion transport,,substrate-binding protein of ferric-bacillibactin,
yusG,metal homeostasis / ion transport,,,
yusI,metal homeostasis / ion transport,,,
yusZ,metal homeostasis / ion transport,,,
yusS,metal homeostasis / ion transport,,,
yusR,metal homeostasis / ion transport,,,
mrgA,metal homeostasis / ion transport,,"sequesters iron, protects DNA in oxidative stress",
liaR,cell envelope / surface remodeling ,envelope stress ,two component system,
liaS,cell envelope / surface remodeling ,envelope stress ,two component system,
sigW,cell envelope / surface remodeling ,envelope stress ,cell envelope stress sigma factor,
sigX,cell envelope / surface remodeling ,envelope stress ,membrane stress,
walR,cell envelope / surface remodeling ,cell wall homeostasis,,
walK,cell envelope / surface remodeling ,cell wall homeostasis,,
walL,cell envelope / surface remodeling ,cell wall homeostasis,,
walI,cell envelope / surface remodeling ,cell wall homeostasis,,
yycF,cell envelope / surface remodeling ,cell wall homeostasis,,
yycG,cell envelope / surface remodeling ,cell wall homeostasis,,
yycA,cell envelope / surface remodeling ,cell wall homeostasis,altered regulation of envelope signaling,
yycN,cell envelope / surface remodeling ,cell wall homeostasis,envelope-state adjustment,
yycB,cell envelope / surface remodeling ,cell wall homeostasis,envelope-state adjustment,
dltA,cell envelope / surface remodeling ,surface charge,D-alanylation of teichoic acids,
tagO,cell envelope / surface remodeling ,surface charge,"teichoic acid systhesis control, initiates synthesis",
floA,cell envelope / surface remodeling ,membrane organization,membrane microdomains,
yusD,cell envelope / surface remodeling ,,,
ccpA,central metabolism / energy metabolism,carbon metabolism,carbon catabolite repression,
cggR,central metabolism / energy metabolism,carbon metabolism,glycolysis regulator,
cydA,central metabolism / energy metabolism,TCA / respiration,,
cydB,central metabolism / energy metabolism,TCA / respiration,,
cydC,central metabolism / energy metabolism,TCA / respiration,,
ctaC,central metabolism / energy metabolism,TCA / respiration,,
ctaD,central metabolism / energy metabolism,TCA / respiration,,
ctaE,central metabolism / energy metabolism,TCA / respiration,,
rex,central metabolism / energy metabolism,TCA / respiration,redox-sensistive regulator,
pta,central metabolism / energy metabolism,overflow metabolism,,
ackA,central metabolism / energy metabolism,overflow metabolism,,
tnrA,central metabolism / energy metabolism,nitrogen ,nitrogen metabolism,
glnR,central metabolism / energy metabolism,nitrogen ,nitrogen regulation,
tagO,phosphate limitation,teichoic acid systhesis control,initiates synthesis,
tagA,phosphate limitation,teichoic acid systhesis control,early pathway,
tagB,phosphate limitation,teichoic acid systhesis control,early pathway,
tagD,phosphate limitation,teichoic acid systhesis control,early pathway,
tagG,phosphate limitation,teichoic acid systhesis control,export machinery,
tagH,phosphate limitation,teichoic acid systhesis control,export machinery,
tagV,phosphate limitation,teichoic acid systhesis control,,
pstS,phosphate limitation,phosphate ABC transporter,,
pstA,phosphate limitation,phosphate ABC transporter,,
pstC,phosphate limitation,phosphate ABC transporter,,
pstBA,phosphate limitation,phosphate ABC transporter,,
pstBB,phosphate limitation,phosphate ABC transporter,,
phoR,phosphate limitation,phosphate regulator response,,
phoP,phosphate limitation,phosphate regulator response,,
phoB,phosphate limitation,phosphate regulator response,induced when phosphate is limited,
tuaB,phosphate limitation,teichoic acid replacement in low phosphate,,
tuaC,phosphate limitation,teichoic acid replacement in low phosphate,,
tuaD,phosphate limitation,teichoic acid replacement in low phosphate,,
tuaE,phosphate limitation,teichoic acid replacement in low phosphate,,
tuaF,phosphate limitation,teichoic acid replacement in low phosphate,,
tuaG,phosphate limitation,teichoic acid replacement in low phosphate,,
