Sample ID,Working ID,Qubit conc ng/uL,Extraction,sample
R2C3,2,102,Zymo,2Z
R3C3,3,118,Zymo,3Z
R4C3,4,98.5,Zymo,4Z
R5C3,5,100,Zymo,5Z
R5C3,5,154,DREX,5D
R1G3,6,103,Zymo,6Z
R3G3,8,65.4,Zymo,8Z
R4G3,9,86.9,Zymo,9Z
R5G3,10,90,Zymo,10Z
R1G3,6,148,DREX,6D
R1H3,11,115,Zymo,11Z
R2H3,12,168,Zymo,12Z
R4H3,14,135,Zymo,14Z
R5H3,15,214,Zymo,15Z
R1H3,11,162,DREX,11D
R1M3,16,180,Zymo,16Z
R2M3,17,171,Zymo,17Z
R4M3,19,230,Zymo,19Z
R5M3,20,217,Zymo,20Z
R5M3,20,175,DREX,20D
R1C24,21,54.9,Zymo,21Z
R2C24,22,48.9,Zymo,22Z
R4C24,24,47.7,Zymo,24Z
R5C24,25,49.6,Zymo,25Z
R4C24,24,82.4,DREX,24D
R1G24,26,9.09,Zymo,26Z
R2G24,27,14.4,Zymo,27Z
R4G24,29,20.6,Zymo,29Z
R5G24,30,28.8,Zymo,30Z
R1G24,26,20.8,DREX,26D
R2H24,32,39.5,Zymo,32Z
R3H24,33,23.5,Zymo,33Z
R4H24,34,18.3,Zymo,34Z
R5H24,35,38,Zymo,35Z
R3H24,33,36,DREX,33D
R2M24,37,21.3,Zymo,37Z
R3M24,38,22,Zymo,38Z
R4M24,39,28.8,Zymo,39Z
R5M24,40,31.8,Zymo,40Z
R3M24,38,68.3,DREX,38D
